2025-12-15 03:33:58,783 - - 35 iterations | 8-fold | FS_KEEP_RATIO=0.7
2025-12-15 04:12:32,531 - R22_iter800_lr0.124_l21.66_leaf127 | VAL_RMSE=2187.978427 | VAL_MAE=1279.014152 | VAL_R2=0.949294 | VAL_BIAS=105.019695 | TRAIN_RMSE=1787.230754 | TRAIN_MAE=1084.115756 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:14:00,161 - R23_iter800_lr0.117_l20.50_leaf31 | VAL_RMSE=2207.348444 | VAL_MAE=1314.862240 | VAL_R2=0.948432 | VAL_BIAS=114.909481 | TRAIN_RMSE=1967.644311 | TRAIN_MAE=1206.172213 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': None, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(0.5), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:15:30,272 - R24_iter600_lr0.087_l20.61_leaf31 | VAL_RMSE=2214.704866 | VAL_MAE=1315.787806 | VAL_R2=0.948118 | VAL_BIAS=114.467365 | TRAIN_RMSE=1969.402204 | TRAIN_MAE=1205.883995 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 10, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:17:07,020 - R25_iter1000_lr0.102_l22.29_leaf31 | VAL_RMSE=2214.357002 | VAL_MAE=1303.899953 | VAL_R2=0.948153 | VAL_BIAS=109.777741 | TRAIN_RMSE=1945.899846 | TRAIN_MAE=1178.863728 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:18:55,752 - R26_iter1500_lr0.091_l20.82_leaf63 | VAL_RMSE=2151.628145 | VAL_MAE=1264.322161 | VAL_R2=0.951010 | VAL_BIAS=101.939894 | TRAIN_RMSE=1753.643053 | TRAIN_MAE=1071.892283 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 10, 'learning_rate': np.float64(0.09105263157894737), 'l2_regularization': np.float64(0.8157894736842105), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:20:42,534 - R27_iter1500_lr0.091_l20.61_leaf63 | VAL_RMSE=2163.497447 | VAL_MAE=1271.361581 | VAL_R2=0.950484 | VAL_BIAS=104.935083 | TRAIN_RMSE=1808.048030 | TRAIN_MAE=1095.457843 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.09105263157894737), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:22:10,973 - R28_iter800_lr0.143_l21.97_leaf31 | VAL_RMSE=2175.389805 | VAL_MAE=1292.798769 | VAL_R2=0.949918 | VAL_BIAS=107.972101 | TRAIN_RMSE=1870.550266 | TRAIN_MAE=1147.630231 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 10, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:23:54,825 - R29_iter1500_lr0.087_l21.97_leaf63 | VAL_RMSE=2179.685479 | VAL_MAE=1283.837291 | VAL_R2=0.949732 | VAL_BIAS=108.271664 | TRAIN_RMSE=1838.681485 | TRAIN_MAE=1124.155814 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 10, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:25:43,671 - R30_iter600_lr0.106_l21.03_leaf127 | VAL_RMSE=2169.883434 | VAL_MAE=1265.639992 | VAL_R2=0.950153 | VAL_BIAS=104.281166 | TRAIN_RMSE=1769.985088 | TRAIN_MAE=1059.116703 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:27:18,893 - R31_iter1500_lr0.098_l21.76_leaf31 | VAL_RMSE=2191.719779 | VAL_MAE=1298.673857 | VAL_R2=0.949152 | VAL_BIAS=111.085299 | TRAIN_RMSE=1931.380937 | TRAIN_MAE=1176.421389 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:28:53,528 - R32_iter1000_lr0.143_l22.08_leaf63 | VAL_RMSE=2182.338773 | VAL_MAE=1279.409730 | VAL_R2=0.949598 | VAL_BIAS=100.200427 | TRAIN_RMSE=1798.412260 | TRAIN_MAE=1091.840286 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(2.0789473684210527), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:30:25,521 - R33_iter600_lr0.143_l20.61_leaf31 | VAL_RMSE=2177.681006 | VAL_MAE=1289.424243 | VAL_R2=0.949822 | VAL_BIAS=107.024940 | TRAIN_RMSE=1864.397762 | TRAIN_MAE=1138.337125 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:32:05,751 - R34_iter1500_lr0.139_l21.03_leaf127 | VAL_RMSE=2157.707074 | VAL_MAE=1258.568731 | VAL_R2=0.950681 | VAL_BIAS=96.898871 | TRAIN_RMSE=1664.807531 | TRAIN_MAE=1006.751577 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1500, 'max_depth': 25, 'learning_rate': np.float64(0.13894736842105262), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
