config,val_mae_mean,train_mae_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R190_iter1000_lr0.098_l20.6,1263.1964045321513,1094.1140969812568,30,63,1000,20.0,0.09842105263157895,0.6052631578947368,255,42
R65_iter1000_lr0.150_l22.2,1263.2070605268154,1079.8209393660777,20,63,1000,10.0,0.15,2.1842105263157894,255,42
R80_iter1500_lr0.124_l21.7,1263.2144946813619,1088.155741700242,20,63,1500,,0.12421052631578947,1.6578947368421053,255,42
R58_iter1500_lr0.132_l21.4,1263.230413376909,1094.4947842017375,30,63,1500,25.0,0.13157894736842105,1.4473684210526314,255,42
R24_iter1000_lr0.128_l22.3,1263.3906928401839,1079.5628082769388,40,127,1000,15.0,0.12789473684210526,2.289473684210526,255,42
R149_iter800_lr0.098_l21.1,1263.413006424605,1098.2936658212534,20,63,800,20.0,0.09842105263157895,1.131578947368421,255,42
R219_iter800_lr0.084_l22.1,1263.6892463918252,1108.6289480002135,30,63,800,,0.08368421052631579,2.0789473684210527,255,42
R89_iter1000_lr0.146_l21.0,1263.7099307461076,1087.4784108322133,20,63,1000,10.0,0.1463157894736842,1.026315789473684,255,42
R139_iter1000_lr0.095_l21.1,1264.0366363034555,1097.5052791489609,30,63,1000,15.0,0.09473684210526316,1.131578947368421,255,42
R43_iter1500_lr0.121_l20.7,1264.4330801560714,1101.5130253284474,40,63,1500,25.0,0.12052631578947368,0.7105263157894737,255,42
R141_iter1500_lr0.124_l21.9,1264.5167339569587,1099.5334015624703,40,63,1500,,0.12421052631578947,1.8684210526315788,255,42
R132_iter1500_lr0.132_l20.9,1264.5823624911377,1096.7023350827599,30,63,1500,20.0,0.13157894736842105,0.9210526315789473,255,42
R11_iter1500_lr0.087_l21.9,1265.037377890103,1103.679299285584,30,63,1500,,0.08736842105263158,1.8684210526315788,255,42
R21_iter600_lr0.091_l22.1,1265.1759811079792,1110.4969209683834,40,63,600,15.0,0.09105263157894737,2.0789473684210527,255,42
R78_iter800_lr0.135_l21.6,1265.1960950016387,1094.9871811609225,20,63,800,25.0,0.13526315789473684,1.5526315789473684,255,42
R243_iter800_lr0.084_l21.0,1265.2280137917874,1106.1714325380572,40,63,800,,0.08368421052631579,1.026315789473684,255,42
R104_iter800_lr0.098_l21.1,1265.3469528867488,1104.2347763553696,30,63,800,15.0,0.09842105263157895,1.131578947368421,255,42
R248_iter600_lr0.150_l22.4,1265.7026253907302,1073.8314324653488,40,127,600,15.0,0.15,2.394736842105263,255,42
R35_iter1500_lr0.106_l20.9,1265.8019151450978,1099.2902582983388,30,63,1500,,0.10578947368421052,0.9210526315789473,255,42
R201_iter800_lr0.087_l20.7,1266.4171918477668,1105.4246221301664,20,63,800,25.0,0.08736842105263158,0.7105263157894737,255,42
R135_iter1500_lr0.143_l21.3,1266.9362944496154,1097.6270336429825,30,63,1500,25.0,0.14263157894736841,1.3421052631578947,255,42
R195_iter1000_lr0.146_l21.0,1267.04583658738,1092.0214610854173,30,63,1000,25.0,0.1463157894736842,1.026315789473684,255,42
R39_iter1000_lr0.143_l22.5,1267.0541096996972,1094.4544002120151,20,63,1000,10.0,0.14263157894736841,2.5,255,42
