config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
45,800,6,1,0.3,,False,1319.0628683629866,785.969306850373,0.9816432298001978,2357.1496217542053,1348.8098622634363,0.9412437495184879,1852.9797420088207
20,1000,2,2,0.5,20.0,False,1634.3778589108415,1017.550190405647,0.9718217046117308,2317.809274234041,1356.9025772365426,0.9431588297034104,1837.3559257352917
62,1200,4,2,0.5,20.0,False,1635.1108414436258,1017.8633292064419,0.9717963891547807,2318.363505354481,1356.9243566150699,0.9431318254004555,1837.6439309847754
44,1000,2,3,0.5,,False,1769.8046267373593,1050.4325746910818,0.9669581147748805,2364.6983808016325,1358.5204356965846,0.9408539709778803,1861.6094082491086
48,1000,4,3,0.5,,False,1769.8046267373593,1050.4325746910818,0.9669581147748805,2364.698380801633,1358.5204356965846,0.9408539709778803,1861.6094082491088
63,1000,6,3,0.5,,False,1769.8046267373593,1050.4325746910818,0.9669581147748805,2364.6983808016325,1358.5204356965846,0.9408539709778803,1861.6094082491086
43,800,6,3,0.5,,False,1769.9594787761164,1050.4365710538418,0.9669521935144596,2364.579223459791,1358.5315169627393,0.9408604301186771,1861.5553702112652
2,800,4,3,0.5,,False,1769.9594787761164,1050.4365710538418,0.9669521935144596,2364.579223459791,1358.5315169627393,0.9408604301186771,1861.5553702112652
18,800,2,3,0.5,,False,1769.9594787761164,1050.4365710538418,0.9669521935144596,2364.579223459791,1358.5315169627395,0.9408604301186771,1861.5553702112652
36,1200,4,3,0.5,,False,1770.0235027402275,1050.4979046084195,0.9669500881400005,2365.3276602379756,1358.5455434002627,0.9408206339218743,1861.936601819119
32,800,4,3,0.5,30.0,False,1772.1947027187034,1052.216179552104,0.9668691506884699,2364.5284055513316,1358.7808403391282,0.9408697421946565,1861.65462294523
21,1000,6,2,0.5,20.0,False,1713.031862299399,1057.2329139019926,0.9690445540918569,2329.973197237796,1362.51161880174,0.9425632222942424,1846.242408019768
57,800,6,2,0.5,20.0,False,1713.621270683558,1057.4726985416069,0.9690233453605079,2330.3011996716987,1362.9509814304442,0.9425492327585984,1846.6260905510715
54,800,2,1,sqrt,,False,131.61210733866113,8.897262591990998,0.9998170031172794,2368.7175305565615,1367.8054003221957,0.9406751389918356,1868.2614654393788
