config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
25,800,4,2,0.3,15,False,2968.810102950067,1966.1585723177973,0.9070253684853888,3194.465438012445,2051.681474543383,0.8922851500042979,2623.073456277914
26,1000,4,2,0.3,15,False,2967.231531909169,1966.301110999916,0.9071249829273156,3193.386934013798,2051.8358688124526,0.8923582709089777,2622.6114014131253
28,800,6,2,0.3,15,False,2986.2728738096744,1972.071867965585,0.9059320934602622,3196.233680503128,2052.3854747773266,0.8921723386124201,2624.3095776402274
29,1000,6,2,0.3,15,False,2985.616979246395,1973.2270372602895,0.9059726977873812,3196.88384408238,2053.5475902757544,0.8921262356484876,2625.2157171790673
30,1200,6,2,0.3,15,False,2985.7145533108715,1973.0944017257555,0.9059659989235118,3197.4413689859234,2053.6179814919465,0.8920870979289238,2625.529675238935
13,800,4,2,0.5,10,False,3124.868274642456,2046.6257147186316,0.897000180796044,3243.3284356532617,2087.014520724153,0.8889810379082317,2665.1714781887076
16,800,6,2,0.5,10,False,3135.3465743787233,2050.090995822061,0.8963083141138726,3247.486008540528,2089.0567945419734,0.8887015110285441,2668.2714015412507
17,1000,6,2,0.5,10,False,3135.8824890026526,2050.654525196565,0.8962735046999659,3247.7706664277066,2089.446715305048,0.8886816412653993,2668.6086908663774
14,1000,4,2,0.5,10,False,3127.1140656192097,2049.2115234310963,0.8968523859793542,3244.9562870840455,2089.8983989800067,0.8888711943042961,2667.4273430320263
18,1200,6,2,0.5,10,False,3138.3703774553614,2051.5120028220895,0.8961091197725507,3250.7705008816483,2090.2259253053708,0.8884739396991725,2670.4982130935095
19,800,4,3,0.5,10,False,3152.6964301166067,2052.987273141173,0.8951583116756232,3260.999830103652,2090.456346886873,0.8877746907470876,2675.7280884952625
22,800,6,3,0.5,10,False,3152.6964301166067,2052.987273141173,0.8951583116756232,3260.999830103652,2090.456346886873,0.8877746907470876,2675.7280884952625
15,1200,4,2,0.5,10,False,3129.6516667816777,2050.0046364786695,0.896684593427583,3248.0369863786955,2090.7914221533997,0.8886584122099421,2669.414204266048
20,1000,4,3,0.5,10,False,3153.9140913820434,2054.5111417295866,0.8950771578442726,3261.8135465526793,2091.687730726075,0.8877173814802789,2676.750638639377
23,1000,6,3,0.5,10,False,3153.9140913820434,2054.5111417295866,0.8950771578442726,3261.8135465526793,2091.687730726075,0.8877173814802789,2676.750638639377
24,1200,6,3,0.5,10,False,3156.977560413997,2055.51323070124,0.8948727997705423,3264.8309831540237,2092.560784825303,0.8875056343542242,2678.6958839896633
21,1200,4,3,0.5,10,False,3156.977560413997,2055.51323070124,0.8948727997705423,3264.8309831540237,2092.560784825303,0.8875056343542242,2678.6958839896633
33,1200,4,3,0.3,15,False,3148.313350709478,2063.713091453681,0.8954421736399691,3320.06717229291,2126.9618380023385,0.8836492541280634,2723.5145051476243
36,1200,6,3,0.3,15,False,3148.313350709478,2063.713091453681,0.8954421736399691,3320.067172292911,2126.9618380023385,0.8836492541280633,2723.5145051476247
32,1000,4,3,0.3,15,False,3148.85345798831,2064.5093122467424,0.8954075074452121,3319.9392762223356,2127.599257279863,0.8836594853121003,2723.769266751099
35,1000,6,3,0.3,15,False,3148.85345798831,2064.5093122467424,0.8954075074452121,3319.9392762223356,2127.599257279863,0.8836594853121003,2723.769266751099
31,800,4,3,0.3,15,False,3150.9321909165915,2065.0878275312316,0.8952681978084349,3321.064735704762,2128.065066969497,0.8835788803090817,2724.5649013371294
34,800,6,3,0.3,15,False,3150.9321909165915,2065.0878275312316,0.8952681978084349,3321.064735704762,2128.065066969497,0.8835788803090817,2724.5649013371294
3,1200,4,2,0.3,10,False,4034.2738739636875,2726.557842118592,0.8283140760778824,4119.855598635295,2752.3088024687195,0.8208801973705693,3436.082200552007
1,800,4,2,0.3,10,False,4037.915837887055,2728.332756350645,0.8280063640886566,4124.3292354549085,2754.2136926749945,0.8204895399684358,3439.2714640649515
2,1000,4,2,0.3,10,False,4036.2938778762395,2729.174335918169,0.8281426900676039,4122.073791119325,2755.0882747700825,0.8206872591137462,3438.5810329447036
6,1200,6,2,0.3,10,False,4047.892459512723,2732.9632332343167,0.8271585813839459,4129.462337198577,2758.593453330629,0.8200451186526609,3444.027895264603
5,1000,6,2,0.3,10,False,4048.2307262817667,2734.539145613479,0.8271302889746702,4130.432487665902,2760.3696234742256,0.8199610849104823,3445.401055570064
4,800,6,2,0.3,10,False,4051.191399907773,2735.7125068870737,0.826872848910231,4133.573285002187,2761.844786337209,0.8196784590558664,3447.709035669698
12,1200,6,3,0.3,10,False,4088.024125302274,2754.1337520173256,0.823717353493885,4163.139447789194,2776.9630245226663,0.8171205822335834,3470.05123615593
9,1200,4,3,0.3,10,False,4088.024125302274,2754.1337520173256,0.823717353493885,4163.139447789194,2776.9630245226663,0.8171205822335834,3470.05123615593
10,800,6,3,0.3,10,False,4093.968764280686,2758.386200925577,0.8232060038128571,4168.518960117215,2780.967381516257,0.8166471266577396,3474.743170816736
7,800,4,3,0.3,10,False,4093.9687642806866,2758.386200925577,0.8232060038128571,4168.518960117215,2780.967381516257,0.8166471266577396,3474.743170816736
8,1000,4,3,0.3,10,False,4091.9668181917923,2758.3155882062556,0.8233771664932039,4166.81706954867,2781.02581354547,0.8167941815151147,3473.9214415470697
11,1000,6,3,0.3,10,False,4091.9668181917923,2758.3155882062556,0.8233771664932039,4166.81706954867,2781.02581354547,0.8167941815151147,3473.9214415470697
