config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
30,0.2,0.00017012542798525892,4157.948111284333,2647.2063275558053,0.817641441377227,-2.3660337039950724e-13,4183.356778677827,2653.5018103258703,0.8153478758782655,-0.051220192490236016,3418.4292945018487
5,0.30000000000000004,8.376776400682924e-05,4157.945258467148,2647.272526845629,0.8176416916834341,-6.58983694606741e-14,4183.365521262814,2653.5780691787613,0.8153471229797243,-0.051765884014756125,3418.4717952207875
8,0.4,8.376776400682924e-05,4157.944926441927,2647.279923541696,0.8176417208174108,-1.6180649934513972e-12,4183.367470498581,2653.5873960319395,0.815346953927937,-0.05177588919245224,3418.47743326526
36,0.4,4.124626382901348e-05,4157.9439067255935,2647.302988142982,0.8176418102960431,-3.7115483406399377e-13,4183.3763949709555,2653.6187550411414,0.8153461782689531,-0.05156297145500055,3418.4975750060485
32,0.1,1.4251026703029993e-05,4157.943497951208,2647.3139456948315,0.8176418461666954,-2.562256283437495e-13,4183.383121053936,2653.6355877060755,0.8153455929351896,-0.05120980857570512,3418.509354380006
2,0.7000000000000001,4.124626382901348e-05,4157.943485750466,2647.314340115812,0.817641847237352,-8.017765334164602e-14,4183.383406862815,2653.6362274881403,0.8153455680528006,-0.05118805161142426,3418.5098171754776
37,0.5,2.0309176209047348e-05,4157.9434242627185,2647.316393840728,0.8176418526330036,-2.8490187308537703e-13,4183.384972131364,2653.639611803326,0.8153454318045195,-0.05109005248021958,3418.512291967345
24,0.7000000000000001,2.8942661247167517e-05,4157.94338741368,2647.317746207349,0.8176418558665259,-9.973358970227895e-13,4183.386061458468,2653.6418867935135,0.8153453369604864,-0.05101440027542381,3418.513974125991
7,0.7000000000000001,1.4251026703029993e-05,4157.943293518997,2647.3219858867574,0.817641864105312,-2.5607291108281777e-13,4183.389791052041,2653.649260189729,0.8153450119493802,-0.05073028568709592,3418.519525620885
29,0.8,2.0309176209047348e-05,4157.943289867121,2647.3221987209736,0.8176418644257194,-8.088913582662988e-13,4183.389989402177,2653.649639379717,0.8153449946406535,-0.05071201138650139,3418.519814390947
6,0.30000000000000004,0.41246263829013563,4315.840679375422,2673.3895249717834,0.8035287115295053,-1.423224337385925e-13,4346.207693141185,2681.396887038947,0.8006756035948419,0.028653520437634583,3513.802290090066
4,0.6,1.1937766417144382,4435.728341290223,2735.1646450242806,0.7924616452904818,6.019494605028229e-13,4467.710112418311,2743.8052552366707,0.7893665342364653,0.06937306793711073,3605.757683827491
18,0.4,1.1937766417144382,4571.284686832031,2815.270580575695,0.7795829121701184,-7.452615700750069e-13,4604.557663341137,2824.762004538231,0.776256219852856,0.10756831733407246,3714.659833939684
25,0.1,1.1937766417144382,4742.528951520644,2927.438632597957,0.7627594192314114,-4.4136248352847507e-13,4776.962077191135,2937.833456638834,0.7591764639365333,0.1481273683248494,3857.3977669149845
14,0.7000000000000001,4.923882631706742,4900.363220484226,3040.5353345464487,0.7467054945393979,-2.4516320102165516e-13,4935.561274792629,3051.6786796013566,0.7429096012298001,0.18014256557906094,3993.6199771969927
28,0.2,3.455107294592218,5236.922799534779,3309.4213420212272,0.7107176001970292,-5.378888799236956e-13,5273.131095557566,3321.8204410773906,0.7065154203457679,0.2374149257222502,4297.4757683174785
33,0.6,7.017038286703837,5246.587176106472,3317.6333365937817,0.7096489062086586,6.653215234755505e-13,5282.816673003035,3330.068313079524,0.7054356338179608,0.23886015553965656,4306.44249304128
23,0.1,3.455107294592218,5300.728968193638,3363.717497320736,0.7036254245371845,-1.3332135096082476e-13,5337.061982222685,3376.37309978595,0.6993513962530349,0.24698673247537073,4356.717541004318
20,0.6,10.0,5435.308352976814,3480.443664467356,0.6883850502564048,-8.333606547788329e-13,5471.855198276051,3493.6437447001945,0.6839632902201139,0.2661300082284681,4482.749471488123
12,0.4,10.0,5629.568032792459,3652.1950786765556,0.6657123864953569,-3.031319117086663e-13,5666.320714390566,3665.998277119489,0.6610855795332085,0.29173723959432163,4666.159495755028
38,0.1,10.0,5792.1841737659415,3797.7162480759744,0.6461207849421737,-6.197109563671146e-13,5829.038703867881,3811.869560198686,0.6413279546650463,0.3116303661191475,4820.454132033284
