config,fs_keep_ratio,avg_selected_features,train_rmse_mean,val_rmse_mean,train_mae_mean,val_mae_mean,train_r2_mean,val_r2_mean,train_bias_mean,val_bias_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R7_iter600_lr0.139_l20.50_leaf31_fs70,0.7,18.0,1934.667754473054,2209.757268720714,1177.961629761373,1307.7212015048704,0.9604348068794257,0.948333523098067,-98.34793664385488,-106.70291483085808,40,31,600,,0.13894736842105262,0.5,255,42
R6_iter600_lr0.113_l22.50_leaf63_fs40,0.4,10.0,1888.018604956149,2212.8859888761053,1139.3107168073466,1299.2652162129175,0.9623451300301366,0.9481987335482193,-96.71318248078464,-107.47741865261904,30,63,600,25.0,0.1131578947368421,2.5,255,42
R8_iter1000_lr0.143_l22.08_leaf31_fs30,0.3,8.0,1959.3831952652274,2217.4958227935085,1197.6461452741855,1317.1077125584784,0.9594406238182851,0.9479713534604773,-101.7027899662963,-109.08038510767577,20,31,1000,,0.14263157894736841,2.0789473684210527,255,42
R19_iter800_lr0.117_l20.92_leaf31_fs40,0.4,10.0,1948.1813358291945,2218.8191848375973,1186.3844692792188,1317.436179607404,0.9599126516824823,0.947940653927199,-102.47821364171324,-112.40285506120101,20,31,800,25.0,0.11684210526315789,0.9210526315789473,255,42
R33_iter800_lr0.132_l21.55_leaf63_fs40,0.4,10.0,1869.1709649254924,2221.529121247052,1129.5347136748096,1300.202717622471,0.9630676897015208,0.9478014480570691,-94.15122384253243,-107.25746643935271,40,63,800,15.0,0.13157894736842105,1.5526315789473684,255,42
R20_iter800_lr0.121_l22.39_leaf31_fs40,0.4,10.0,1966.8836711972626,2234.922207852441,1200.7224310318625,1323.9631990790822,0.9591345753247162,0.9471149679560527,-104.35092524689945,-114.11801458356402,20,31,800,20.0,0.12052631578947368,2.394736842105263,255,42
R21_iter600_lr0.098_l21.55_leaf31_fs40,0.4,10.0,1980.9934042722198,2240.527491996323,1206.7003194571798,1326.9689671565757,0.9585509318596204,0.9469018264822993,-105.74274645396191,-116.77518814336479,20,31,600,20.0,0.09842105263157895,1.5526315789473684,255,42
R16_iter1000_lr0.109_l21.97_leaf63_fs50,0.5,13.0,1909.3998989476188,2240.644903371968,1154.4366486007093,1308.726252894953,0.961445423548676,0.9468556717694325,-97.72242340254138,-110.74180956198332,40,63,1000,15.0,0.1094736842105263,1.9736842105263157,255,42
R24_iter800_lr0.084_l21.24_leaf31_fs50,0.5,13.0,1994.4654153591368,2250.7932789315328,1207.1926717693718,1324.4990223628556,0.9580003905936434,0.9464390853588075,-104.82638472087619,-114.6626135847167,40,31,800,15.0,0.08368421052631579,1.236842105263158,255,42
R28_iter600_lr0.080_l21.45_leaf31_fs40,0.4,10.0,2018.3086523306574,2252.907647807174,1229.3684650593727,1337.0404684999507,0.9570183579155227,0.9463261365091857,-109.42027738143548,-117.94374349006523,20,31,600,25.0,0.08,1.4473684210526314,255,42
R18_iter600_lr0.109_l20.50_leaf31_fs50,0.5,13.0,2016.2124595640164,2268.6837067070833,1218.243758317872,1334.0231406829819,0.9570781713530156,0.9456036650035704,-105.98385368168616,-116.23239724287328,40,31,600,,0.1094736842105263,0.5,255,42
R12_iter800_lr0.080_l20.92_leaf31_fs40,0.4,10.0,2061.348399389105,2275.933277815552,1241.2984805520587,1341.805027487583,0.9551361290967745,0.945224083771671,-109.94529022150437,-120.64518657410565,40,31,800,25.0,0.08,0.9210526315789473,255,42
