config_id,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
1,0.007316807143427192,4157.9432450698105,2647.3268777404032,0.8176418683557751,-5.744329835924449e-13,4183.39454713309,2653.6581144225593,0.8153445959348804,-0.050245166064740054,3418.5263307778246
24,0.006368249944718587,4157.943245063796,2647.3268921761,0.8176418683563029,-5.470683554299796e-13,4183.394563095505,2653.6581419161357,0.815344594542067,-0.05024366399749525,3418.5263525058203
27,0.003409285069746811,4157.943245050372,2647.3269372134837,0.8176418683574809,-3.263074740061015e-13,4183.3946129505675,2653.658227731912,0.8153445901919107,-0.05023896950445916,3418.52642034124
19,0.0029673024081888696,4157.943245049062,2647.3269439415467,0.8176418683575958,-9.524766652460299e-13,4183.394620405434,2653.6582405569493,0.8153445895414269,-0.050238267128020375,3418.5264304811917
14,0.002247805833548725,4157.943245047318,2647.326954894498,0.8176418683577489,-3.518911558176615e-13,4183.3946325455345,2653.6582614383406,0.8153445884821259,-0.05023712309475936,3418.5264469919375
7,0.0012033778407775893,4157.9432450456425,2647.326970794885,0.8176418683578959,-1.7235032579174206e-12,4183.394650178021,2653.658291758158,0.8153445869435774,-0.05023546098591947,3418.5264709680896
20,0.0011226677735108135,4157.943245045555,2647.326972023664,0.8176418683579035,2.1428542853771776e-14,4183.394651541086,2653.6582941015813,0.8153445868246412,-0.050235332471520344,3418.5264728213338
28,0.0010473708979594498,4157.943245045479,2647.3269731700366,0.8176418683579103,-2.546927534422288e-13,4183.3946528127935,2653.658296287884,0.8153445867136762,-0.0502352125693033,3418.5264745503387
11,0.0009771241535346503,4157.943245045412,2647.326974239527,0.8176418683579161,-6.659352370537722e-13,4183.394653999264,2653.6582983275975,0.815344586610149,-0.050235100701170765,3418.5264761634307
25,0.0009115888299750819,4157.943245045355,2647.326975237292,0.8176418683579211,-1.1898179891364796e-12,4183.394655106204,2653.658300230549,0.8153445865135611,-0.050234996329241,3418.526477668376
26,0.0006442363508721371,4157.94324504516,2647.3269793077393,0.8176418683579381,-1.603371873407178e-12,4183.394659622461,2653.6583079940656,0.8153445861194879,-0.05023457047163049,3418.5264838082635
17,0.0004880251583654434,4157.943245045079,2647.3269816860934,0.8176418683579454,-3.2464346341458635e-13,4183.394662261616,2653.6583125305,0.8153445858892043,-0.05023432159497876,3418.5264873960577
10,0.00022739657523579274,4157.943245044992,2647.3269856542856,0.8176418683579529,-3.693150888671615e-13,4183.394666665457,2653.65832009974,0.8153445855049398,-0.05023390627799085,3418.526493382599
3,8.026433522257174e-05,4157.943245044971,2647.3269878944748,0.8176418683579547,-6.674741472975419e-13,4183.39466915187,2653.6583243730593,0.8153445852879837,-0.05023367177371618,3418.526496762465
22,3.0367711180354606e-05,4157.9432450449685,2647.3269886541907,0.8176418683579552,-1.491688506391489e-12,4183.394669995134,2653.6583258223036,0.8153445852144032,-0.05023359223986912,3418.5264979087187
2,2.833096101839324e-05,4157.943245044968,2647.326988685202,0.817641868357955,-7.623358647887112e-13,4183.394670029556,2653.6583258814617,0.8153445852113996,-0.05023358899251651,3418.526497955509
